Channel,Elevation,Azimuth
1,-4.965,169.963
2,-3.739,161.294
3,-2.781,169.967
4,-1.659,161.331
5,-0.774,169.967
6,0.261,161.348
7,1.084,169.966
8,2.056,161.348
9,2.732,173.731
10,3.485,182.357
11,4.388,173.749
12,5.117,182.389
13,5.989,173.758
14,6.695,182.431
15,7.552,173.774
16,8.235,182.479
17,9.156,169.855
18,9.998,161.143
19,10.645,169.872
20,11.471,161.108
21,12.112,169.887
22,12.919,161.072
23,13.55,169.902
24,14.345,161.021
25,15.053,173.579
26,15.664,182.521
27,16.442,173.616
28,17.051,182.629
29,17.83,173.652
30,18.425,182.743
31,19.194,173.689
32,19.788,182.867
33,20.612,169.744
34,21.342,160.49
35,21.958,169.753
36,22.681,160.398
37,23.297,169.761
38,24.01,160.298
39,24.629,169.768
40,25.331,160.189
41,25.877,173.745
42,26.501,183.485
43,27.2,173.8
44,27.814,183.656
45,28.517,173.858
46,29.119,183.841
47,29.828,173.915
48,30.418,184.033
49,31.202,169.6
50,31.937,159.354
51,32.509,169.596
52,33.233,159.188
53,33.815,169.584
54,34.525,159.01
55,35.122,169.567
56,35.813,158.82
57,36.365,174.087
58,36.999,185.082
59,37.664,174.153
60,38.281,185.354
61,38.963,174.222
62,39.561,185.646
63,40.264,174.292
64,40.837,185.949
65,41.628,169.416
66,42.35,157.564
67,42.921,169.397
68,43.629,157.298
69,44.225,169.374
70,44.911,157.013
71,45.526,169.352
72,46.191,156.71
73,46.758,174.679
74,47.434,187.745
75,48.058,174.784
76,48.697,188.181
77,49.359,174.895
78,49.963,188.643
79,50.66,175.012
80,51.231,189.138
81,52.024,169.143
82,52.736,154.659
83,53.332,169.101
84,54.013,154.174
85,54.64,169.052
86,55.287,153.648
87,55.956,168.998
88,56.565,153.077
89,57.202,175.724
90,57.89,192.52
91,58.516,175.906
92,59.146,193.323
93,59.839,176.097
94,60.408,194.207
95,61.163,176.308
96,61.663,195.17
97,62.558,168.701
98,63.329,149.063
99,63.899,168.602
100,64.612,148.005
101,65.252,168.487
102,65.895,146.818
103,66.613,168.351
104,67.176,145.48
105,67.885,177.926
106,68.819,203.623
107,69.263,178.414
108,70.038,205.834
109,70.653,178.981
110,71.241,208.363
111,72.06,179.626
112,72.417,211.286
113,73.633,167.527
114,75.093,131.298
115,75.094,167.36
116,76.289,127.313
117,76.582,167.152
118,77.427,122.445
119,78.093,166.865
120,78.473,116.456
121,79.196,197.894
122,80.584,202.402
123,81.931,208.615
124,83.19,217.57
125,84.982,168.105
126,86.601,174.582
127,88.192,192.726
128,88.865,269.353
eab2786616959df9a225a2f8f433614250e631aff8111e6fa437f9aabecd2d7f,,
