Channel,Elevation,Azimuth
1,14.985,0.186
2,10.483,1.343
3,7.812,0.146
4,4.998,1.342
5,3.194,0.107
6,2.463,0.105
7,1.854,1.315
8,1.487,1.316
9,1.12,1.317
10,0.75,1.317
11,0.375,1.318
12,0,0.103
13,-0.375,0.103
14,-0.751,0.103
15,-1.126,0.103
16,-1.502,0.102
17,-1.876,0.102
18,-2.251,0.102
19,-2.626,0.102
20,-3.001,1.324
21,-3.376,1.325
22,-3.751,1.326
23,-4.126,1.326
24,-4.501,1.327
25,-4.876,1.328
26,-5.252,1.329
27,-5.626,1.329
28,-6.002,0.102
29,-6.378,0.103
30,-6.754,0.103
31,-7.882,0.104
32,-9.003,1.337
33,-10.121,1.339
34,-11.234,1.341
35,-12.343,0.108
36,-13.439,0.13
37,-14.525,0.132
38,-15.593,1.385
39,-19.73,0.156
40,-24.765,0.286
