Channel,Elevation,Azimuth
1,14.837607,1.091203
2,10.982645,1.089331
3,8.003339,1.086829
4,5.016721,1.079281
5,3.022091,-1.123121
6,1.999304,-1.119422
7,1.813281,5.524695
8,1.673738,3.30115
9,1.509076,-3.346984
10,1.318152,1.077308
11,1.139504,-5.54545
12,0.981214,-1.129091
13,0.800679,5.520235
14,0.663732,3.300078
15,0.505692,-3.35008
16,0.306812,1.073621
17,0.168143,-5.555636
18,-0.023681,-1.122426
19,-0.178967,5.537334
20,-0.348336,3.300692
21,-0.531367,-3.347287
22,-0.722312,1.074611
23,-0.869764,-5.564045
24,-1.043586,-1.133188
25,-1.217363,5.543491
26,-1.354845,3.314261
27,-1.550417,-3.356325
28,-1.715686,1.081778
29,-1.874733,-5.566136
30,-2.058432,-1.135988
31,-2.240654,5.551903
32,-2.375897,3.31672
33,-2.545819,-3.358957
34,-2.732423,1.073508
35,-2.872055,-5.57191
36,-3.087116,-1.131296
37,-3.230261,5.556823
38,-3.388678,3.32644
39,-3.542589,-3.365948
40,-3.756515,1.085181
41,-3.891862,-5.583463
42,-4.093821,-1.141996
43,-4.241211,5.570993
44,-4.424695,3.340499
45,-4.574435,-3.36489
46,-4.749833,1.086082
47,-4.900231,-5.587723
48,-5.09038,-1.148172
49,-5.247624,5.581174
50,-5.425348,3.339347
51,-5.595772,-3.370597
52,-5.779886,1.081861
53,-5.877936,-5.60662
54,-6.10903,-1.154312
55,-7.097081,-1.148767
56,-8.090181,-1.165234
57,-9.080228,1.102523
58,-10.084443,1.101594
59,-11.051773,1.107268
60,-12.01823,1.111205
61,-13.022724,-1.174076
62,-13.951096,-1.167198
63,-18.912931,-1.160291
64,-24.883393,-1.158555
