Channel,Even_fire time(ns),Odd_fire time(ns)
1,4960,4960
2,5480,5480
3,7040,7040
4,8600,8600
5,0,0
6,520,520
7,2880,2880
8,4440,4440
9,6000,6000
10,6520,6520
11,20080,20080
12,20600,20600
13,1040,1040
14,24560,24560
15,1960,1960
16,26520,26520
17,9920,9920
18,21520,21520
19,11440,11440
20,23040,23040
21,16000,16000
22,37600,37600
23,18560,18560
24,39120,39120
25,12960,12960
26,43680,43680
27,14480,14480
28,46240,46240
29,28240,28240
30,40640,40640
31,29760,29760
32,42160,42160
33,33520,33520
34,52520,52520
35,36080,36080
36,54040,54040
37,31280,31280
38,57000,57000
39,32400,32400
40,59160,59160
41,47960,47960
42,55560,55560
43,48680,48680
44,56280,56280
45,50440,50440
46,7560,7560
47,52000,52000
48,8080,8080
49,49400,49400
50,49920,49920
51,3400,3400
52,3920,3920
53,25480,25480
54,26000,26000
55,35040,35040
56,35560,35560
57,17520,17520
58,18040,18040
59,45200,45200
60,45720,45720
61,50960,50960
62,51480,51480
63,58120,58120
64,58640,58640
65,1040,20600
66,24560,1040
67,24560,1960
68,26520,1960
69,26520,9920
70,21520,9920
71,21520,11440
72,23040,11440
73,16000,23040
74,16000,37600
75,18560,37600
76,18560,39120
77,12960,39120
78,43680,12960
79,43680,14480
80,46240,14480
81,46240,28240
82,40640,28240
83,40640,29760
84,42160,29760
85,33520,42160
86,33520,52520
87,36080,52520
88,36080,54040
89,31280,54040
90,57000,31280
91,57000,32400
92,59160,32400
93,59160,47960
94,55560,47960
95,55560,48680
96,56280,48680
97,50440,56280
98,50440,7560
99,52000,7560
100,52000,8080
