channel,firetime/us
1,95.18
2,23.24
3,98.22
4,20.2
5,101.26
6,17.16
7,104.3
8,14.12
9,77.28
10,92.14
11,74.24
12,89.1
13,71.2
14,86.06
15,68.16
16,83.02
17,50.26
18,11.08
19,47.22
20,8.04
21,44.18
22,5
23,41.14
24,1.96
25,65.12
26,105.82
27,62.08
28,102.78
29,59.04
30,99.74
31,56
32,96.7
33,38.1
34,24.76
35,35.06
36,21.72
37,32.02
38,18.68
39,28.98
40,15.64
41,78.8
42,93.66
43,75.76
44,90.62
45,72.72
46,87.58
47,69.68
48,84.54
49,51.78
50,12.6
51,48.74
52,9.56
53,45.7
54,6.52
55,42.66
56,3.48
57,66.64
58,103.54
59,63.6
60,100.5
61,60.56
62,97.46
63,57.52
64,94.42
65,39.62
66,22.48
67,36.58
68,19.44
69,33.54
70,16.4
71,30.5
72,13.36
73,76.52
74,91.38
75,73.48
76,88.34
77,70.44
78,85.3
79,67.4
80,82.26
81,49.5
82,10.32
83,46.46
84,7.28
85,43.42
86,4.24
87,40.38
88,1.2
89,64.36
90,105.06
91,61.32
92,102.02
93,58.28
94,98.98
95,55.24
96,95.94
97,37.34
98,24
99,34.3
100,20.96
101,31.26
102,17.92
103,28.22
104,14.88
105,78.04
106,92.9
107,75
108,89.86
109,71.96
110,86.82
111,68.92
112,83.78
113,51.02
114,11.84
115,47.98
116,8.8
117,44.94
118,5.76
119,41.9
120,2.72
121,65.88
122,62.84
123,59.8
124,56.76
125,38.86
126,35.82
127,32.78
128,29.74
