Channel,fire time(us)
1,2.31
2,4.37
3,6.43
4,8.49
5,10.54
6,12.6
7,14.66
8,16.71
9,19.16
10,21.22
11,23.28
12,25.34
13,27.39
14,29.45
15,31.5
16,33.56
17,36.61
18,38.67
19,40.73
20,42.78
21,44.84
22,46.9
23,48.95
24,51.01
25,53.45
26,55.52
27,57.58
28,59.63
29,61.69
30,63.74
31,65.8
32,67.86
33,70.9
34,72.97
35,75.02
36,77.08
37,79.14
38,81.19
39,83.25
40,85.3
41,87.75
42,89.82
43,91.87
44,93.93
45,95.98
46,98.04
47,100.1
48,102.15
49,105.2
50,107.26
51,109.32
52,111.38
53,113.43
54,115.49
55,117.54
56,119.6
57,122.05
58,124.11
59,126.17
60,128.22
61,130.28
62,132.34
63,134.39
64,136.45
